Node,SIR
567,13.141
568,10.906
569,10.334
570,15.194
571,8.685
572,9.336
573,9.904
574,14.705
575,12.254
576,10.707
577,9.922
578,12.339
579,7.296
580,9.019
581,10.894
582,7.263
583,10.559
584,9.282
585,12.912
586,10.415
587,9.871
588,7.194
589,10.018
590,8.084
591,7.979
592,7.787
593,9.441
594,14.739
595,12.82
596,6.276
597,5.876
598,9.481
599,13.739
600,5.931
601,8.183
602,11.989
603,9.906
604,9.745
605,6.813
606,9.755
607,5.952
608,11.268
609,9.564
610,9.96
611,8.452
612,8.395
613,6.074
614,10.17
615,9.189
616,5.328
617,8.548
618,11.093
619,6.863
620,8.591
621,13.67
622,4.932
623,14.282
624,14.057
625,10.698
626,13.844
627,13.859
628,10.375
629,9.182
630,9.285
631,10.68
632,7.154
633,6.831
634,9.987
635,5.216
636,6.635
637,8.108
638,8.182
639,13.982
640,13.963
641,13.424
642,12.445
643,10.94
644,10.861
645,10.235
646,10.252
647,11.485
648,15.196
649,6.068
650,6.686
651,7.193
652,5.473
653,12.047
654,6.843
655,14.194
656,9.28
657,7.349
658,7.11
659,11.741
660,9.679
661,8.789
662,9.953
663,9.747
664,11.232
665,10.468
666,9.867
667,10.438
668,10.425
669,7.415
670,7.406
671,10.631
672,9.756
673,10.981
674,9.342
675,12.172
676,6.122
677,8.203
678,10.008
679,6.94
680,8.309
681,7.192
682,11.85
683,7.711
684,10.242
685,8.648
686,10.408
687,13.067
688,6.751
689,10.982
690,9.634
691,6.306
692,13.362
693,11.43
694,10.952
695,7.634
696,9.058
697,9.621
698,9.691
699,8.478
700,11.755
701,8.141
702,11.437
703,9.788
704,9.185
705,7.447
706,9.447
707,7.014
708,8.894
709,7.953
710,9.187
711,9.045
712,9.7
713,18.143
714,12.582
715,9.086
716,6.417
717,6.052
718,12.326
719,5.997
720,9.647
721,13.216
722,9.872
723,8.866
724,6.274
725,10.68
726,6.831
727,8.139
728,7.519
729,6.497
730,13.066
731,8.999
732,10.325
733,10.827
734,11.533
735,7.53
736,9.153
737,8.614
738,5.543
739,12.66
740,8.934
741,12.975
742,9.66
743,7.604
744,8.793
745,13.66
746,5.812
747,11.108
748,9.172
749,13.402
750,11.443
751,10.569
752,9.839
753,10.136
754,9.804
755,14.84
756,5.673
757,6.806
758,5.911
759,8.436
760,6.395
761,5.311
762,8.177
763,12.954
764,13.109
765,5.352
766,10.382
767,7.941
768,15.793
769,13.685
770,10.132
771,7.348
772,9.807
773,12.376
774,6.019
775,10.114
776,12.051
777,5.02
778,14.147
779,7.371
780,10.023
781,5.541
782,7.22
783,8.949
784,16.326
785,7.372
786,6.389
787,8.328
788,6.407
789,10.418
790,4.704
791,10.109
792,12.938
793,11.725
794,11.956
795,12.905
796,14.333
797,8.166
798,12.096
799,6.464
